OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
81;Pokrov;Покров;UA1212100000;Pokrov;Pokrovska;Покровська;Ordzhonikidzevska;Орджонікідзевська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1212100000;34,059433839999997;47,668283180000003;;town;
82;Piatykhatky;П'ятихатки;UA1224510100;Piatykhatky;Piatykhatska;П'ятихатська;Piatykhatskyi;П'ятихатський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1224510100;33,699294039999998;48,405935120000002;337598913;town;18981
83;Pereshchepyne;Перещепине;UA1223210500;Pereshchepyne;Pereshchepynska;Перещепинська;Novomoskovskyi;Новомосковський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1223210500;35,372370439999997;49,019612549999998;337575950;town;10150
84;Avdiivka;Авдіївка;UA1410200000;Avdiivka;Avdiivska;Авдіївська;Avdiivska;Авдіївська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1410200000;37,740981740000002;48,149020640000003;1602171866;town;35364
85;Amvrosiivka;Амвросіївка;UA1420610100;Amvrosiivka;Amvrosiivska;Амвросіївська;Amvrosiivskyi;Амвросіївський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1420610100;38,483055999999998;47,789886729999999;256614257;town;19238
86;Yasynuvata;Ясинувата;UA1415500000;Yasynuvata;Yasynuvatska;Ясинуватська;Yasynuvatska;Ясинуватська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1415500000;37,860686289999997;48,128576629999998;256614136;town;35856
87;Marinka;Мар'їнка;UA1423310100;Marinka;Marinska;Мар'їнська;Marinskyi;Мар'їнський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1423310100;37,509355159999998;47,943276279999999;256617205;town;9978
88;Kryvyi Rih;Кривий Ріг;UA1211000000;Kryvyi Rih;Kryvorizka;Криворізька;Kryvorizka;Криворізька;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1211000000;33,411666259999997;47,902597950000001;1532708613;town;656700
89;Marhanets;Марганець;UA1211300000;Marhanets;Marhanetska;Марганецька;Marhanetska;Марганецька;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1211300000;34,619487739999997;47,648992540000002;337672919;town;48739
90;Siversk;Сіверськ;UA1420910400;Siversk;Siverska;Сіверська;Bakhmutskyi;Бахмутський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1420910400;38,094036549999998;48,864605300000001;256614638;town;12392
91;Sloviansk;Слов'янськ;UA1414100000;Sloviansk;Slovianska;Слов'янська;Slovianska;Слов'янська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1414100000;37,602694360000001;48,855516719999997;256613986;town;114437
92;Chystiakove;Чистякове;UA1414700000;Chystiakove;Torezka;Торезька;Torezka;Торезька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1414700000;38,628182799999998;48,036967480000001;256614002;town;55924
93;Ukrainsk;Українськ;UA1413870900;Ukrainsk;Ukrainska;Українська;Selydivska;Селидівська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413870900;37,363214499999998;48,094759680000003;256613977;town;12161
94;Khartsyzk;Харцизьк;UA1415000000;Khartsyzk;Khartsyzka;Харцизька;Khartsyzka;Харцизька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1415000000;38,144938359999998;48,040563050000003;256614069;town;60016
95;Novomoskovsk;Новомосковськ;UA1211900000;Novomoskovsk;Novomoskovska;Новомосковська;Novomoskovska;Новомосковська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1211900000;35,223251789999999;48,634083259999997;337591160;town;124787
96;Pavlohrad;Павлоград;UA1212400000;Pavlohrad;Pavlohradska;Павлоградська;Pavlohradska;Павлоградська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1212400000;35,878704509999999;48,534077519999997;265059962;town;110609
97;Ilovaisk;Іловайськ;UA1415070800;Ilovaisk;Ilovaiska;Іловайська;Khartsyzka;Харцизька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1415070800;38,189751889999997;47,926011870000004;256614045;town;16143
