OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin2Name_ru;admin2Pcode;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;FID;osm_id;fclass;population
135;Prudianka;Прудянка;UA6322057000;Prudianka;Prudianska;Прудянська;Derhachivskyi;Дергачівський;Дергачевский;UA63220;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6322057000;36,176986990000003;50,245438800000002;9106;337526193;village;2001
136;Nyzhnii Naholchyk;Нижній Нагольчик;UA4420356500;Nyzhnii Naholchyk;Nyzhnonaholchytska;Нижньонагольчицька;Antratsytivskyi;Антрацитівський;Антрацитовский;UA44203;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4420356500;39,085492830000000;48,014899819999997;30687;2422469576;village;1661
137;Novopskov;Новопсков;UA4423355100;Novopskov;Novopskovska;Новопсковська;Novopskovskyi;Новопсковський;Новопсковский;UA44233;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423355100;39,118340789999998;49,532090770000003;14825;337555565;village;9900
138;Novosvitlivka;Новосвітлівка;UA4421456200;Novosvitlivka;Novosvitlivska;Новосвітлівська;Sorokynskyi;Сорокинський;Сорокинский;UA44214;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4421456200;39,514993910000001;48,484492310000000;21967;337596788;village;3755
139;Chkalovske;Чкаловське;UA6325456700;Chkalovske;Chkalovska;Чкаловська;Chuhuivskyi;Чугуївський;Чугуевский;UA63254;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325456700;36,934417719999999;49,717651600000003;13267;337548317;village;4139
140;Bilokurakyne;Білокуракине;UA4420955100;Bilokurakyne;Bilokurakynska;Білокуракинська;Bilokurakynskyi;Білокуракинський;Белокуракинский;UA44209;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4420955100;38,720971620000000;49,532871120000003;14930;337556120;village;6944
141;Vedmezhe;Ведмеже;UA4412745300;Vedmezhe;Volodarska;Володарська;Sverdlovska;Свердловська;Свердловский;UA44127;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4412745300;39,584496289999997;48,120884179999997;329;256614096;village;96
142;Petropavlivka;Петропавлівка;UA4424855400;Petropavlivka;Petropavlivska;Петропавлівська;Stanychno-Luhanskyi;Станично-Луганський;Станично-Луганский;UA44248;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4424855400;39,266250669999998;48,803921819999999;449;256614583;village;247
143;Prykolotne;Приколотне;UA6321455600;Prykolotne;Prykolotnianska;Приколотнянська;Velykoburlutskyi;Великобурлуцький;Великобурлукский;UA63214;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6321455600;37,338911449999998;50,157965599999997;9659;337527781;village;2654
144;Pisochyn;Пісочин;UA6325157900;Pisochyn;Pisochynska;Пісочинська;Kharkivskyi;Харківський;Харьковский;UA63251;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6325157900;36,100122710000001;49,950890790000003;9479;337527251;village;47
